E. pustulosus ,H. variolosus,R. horribilis,L. forreri ,S. baudinii ,C. fitzingeri ,C. bransfordii,C. crassidigitus ,C. megacephalus ,L. warszewitshii ,P. ridens ,D. rufioculis ,H. colymbiphyllum ,D. diastema,T. loquax,H. fleischmanni,C. prosoblepon,C. andi,C. melanosticus,D. uranochroa,N. guanacaste,B. robusta,B. subpalmata,I. tica
0,0,0,1,1,4,0,64,3,20,10,131,4,1,1,0,0,0,0,0,0,0,0,0
1,2,1,18,0,0,2,3,15,4,3,27,0,2,0,1,2,1,4,1,18,1,1,1
